panel,element,field,expected,actual,verdict
"player-frame","PlayerAttackIcon","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrame","presence","PRESENT","PRESENT","PASS"
"player-frame","PlayerFrame","geometry","0|0|232|100","0|0|232|100","PASS"
"player-frame","PlayerFrame","anchor","TOPLEFT|||-19|-4","TOPLEFT|||-19|-4","PASS"
"player-frame","PlayerFrame","texture-path","||","||","PASS"
"player-frame","PlayerFrame","font","|","|","PASS"
"player-frame","PlayerFrame","color","","","PASS"
"player-frame","PlayerFrame","layer","BACKGROUND|","BACKGROUND|","PASS"
"player-frame","PlayerFrame/Frame","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrame/Frame/Frame","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrameBackground","presence","PRESENT","PRESENT","PASS"
"player-frame","PlayerFrameBackground","geometry","106|22|119|41","106|22|119|41","PASS"
"player-frame","PlayerFrameBackground","anchor","TOPLEFT|||106|-22","TOPLEFT|||106|-22","PASS"
"player-frame","PlayerFrameBackground","texture-path","||","||","PASS"
"player-frame","PlayerFrameBackground","font","|","|","PASS"
"player-frame","PlayerFrameBackground","color","","","PASS"
"player-frame","PlayerFrameBackground","layer","BACKGROUND|BACKGROUND","BACKGROUND|BACKGROUND","PASS"
"player-frame","PlayerFrameHealthBarText","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrameManaBarText","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerFrameTexture","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerLevelText","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerName","presence","PRESENT","ABSENT","DELTA"
"player-frame","PlayerPortrait","presence","PRESENT","PRESENT","PASS"
"player-frame","PlayerPortrait","geometry","42|12|64|64","42|12|64|64","PASS"
"player-frame","PlayerPortrait","anchor","TOPLEFT|||42|-12","TOPLEFT|||42|-12","PASS"
"player-frame","PlayerPortrait","texture-path","||","||","PASS"
"player-frame","PlayerPortrait","font","|","|","PASS"
"player-frame","PlayerPortrait","color","","","PASS"
"player-frame","PlayerPortrait","layer","BACKGROUND|ARTWORK","BACKGROUND|ARTWORK","PASS"
"player-frame","PlayerRestIcon","presence","PRESENT","ABSENT","DELTA"
